"íçï∂ì˙éû","ìXï‹î‘çÜ","ÉXÉeÅ[É^ÉX","çXêVì˙éû","ìoò^ì˙éû","è§ïiî‘çÜ","äÛñ]êîó ","î[ïiêîó "
"2023-11-01 11:53:53","0000000000035","1","2023-11-01 11:53:53","2023-11-01 11:53:53","58-2","0","3"
"2023-11-01 12:05:16","0000000000003","1","2023-11-01 12:05:16","2023-11-01 12:05:16","58-2","20","20"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","9-1","15","15"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","20","5","5"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","26-2","15","15"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","33-1","15","15"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","8","5","5"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","7","5","5"
"2023-11-01 12:06:37","0000000000012","1","2023-11-01 12:06:37","2023-11-01 12:06:37","58-2","0","2"
"2023-11-01 12:12:37","0000000000095","1","2023-11-01 12:12:37","2023-11-01 12:12:37","49-1","30","30"
"2023-11-01 12:23:06","000000000019B","1","2023-11-01 12:23:06","2023-11-01 12:23:06","31","10","10"
"2023-11-01 12:23:06","000000000019B","1","2023-11-01 12:23:06","2023-11-01 12:23:06","33-2","10","10"
"2023-11-01 12:23:06","000000000019B","1","2023-11-01 12:23:06","2023-11-01 12:23:06","47","10","10"
"2023-11-01 12:23:06","000000000019B","1","2023-11-01 12:23:06","2023-11-01 12:23:06","58-3","0","1"
"2023-11-01 12:23:06","000000000019B","1","2023-11-01 12:23:06","2023-11-01 12:23:06","58-1","0","2"
"2023-11-01 12:30:42","0000000000006","1","2023-11-01 12:30:42","2023-11-01 12:30:42","27-1","10","10"
"2023-11-01 12:30:42","0000000000006","1","2023-11-01 12:30:42","2023-11-01 12:30:42","49-2","30","30"
"2023-11-01 12:30:42","0000000000006","1","2023-11-01 12:30:42","2023-11-01 12:30:42","4","30","30"
"2023-11-01 12:30:42","0000000000006","1","2023-11-01 12:30:42","2023-11-01 12:30:42","9-2","20","20"
"2023-11-01 12:30:42","0000000000006","1","2023-11-01 12:30:42","2023-11-01 12:30:42","21","10","10"
"2023-11-01 12:30:42","0000000000006","1","2023-11-01 12:30:42","2023-11-01 12:30:42","58-2","0","5"
"2023-11-01 12:40:02","0000000000020","1","2023-11-01 12:40:02","2023-11-01 12:40:02","49-2","15","15"
"2023-11-01 12:52:21","0000000000035","1","2023-11-01 12:52:21","2023-11-01 12:52:21","58-2","19","23"
"2023-11-01 12:53:25","0000000000024","1","2023-11-01 12:53:25","2023-11-01 12:53:25","58-3","2","2"
"2023-11-01 12:53:25","0000000000024","1","2023-11-01 12:53:25","2023-11-01 12:53:25","58-2","7","7"
"2023-11-01 13:01:21","0000000000013","1","2023-11-01 13:01:21","2023-11-01 13:01:21","58-2","39","39"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","9-1","15","15"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","12","10","10"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","28","3","3"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","40-1","7","7"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","49-1","15","15"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","45","7","7"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","51","10","10"
"2023-11-01 13:02:30","0000000000086","1","2023-11-01 13:02:30","2023-11-01 13:02:30","58-2","0","3"
"2023-11-01 13:03:48","0000000000016","1","2023-11-01 13:03:48","2023-11-01 13:03:48","58-2","7","7"
"2023-11-01 13:25:34","0000000000052","1","2023-11-01 13:25:34","2023-11-01 13:25:34","58-2","5","5"
"2023-11-01 13:25:49","0000000000006","1","2023-11-01 13:25:49","2023-11-01 13:25:49","58-1","36","36"
"2023-11-01 13:40:53","0000000000063","1","2023-11-01 13:40:53","2023-11-01 13:40:53","58-2","4","4"
"2023-11-01 13:40:53","0000000000063","1","2023-11-01 13:40:53","2023-11-01 13:40:53","58-1","4","4"
"2023-11-01 13:47:36","0000000000012","1","2023-11-01 13:47:36","2023-11-01 13:47:36","9-1","15","15"
"2023-11-01 13:47:36","0000000000012","1","2023-11-01 13:47:36","2023-11-01 13:47:36","23","10","10"
"2023-11-01 13:47:36","0000000000012","1","2023-11-01 13:47:36","2023-11-01 13:47:36","49-2","30","30"
"2023-11-01 13:47:36","0000000000012","1","2023-11-01 13:47:36","2023-11-01 13:47:36","2","10","10"
"2023-11-01 13:47:36","0000000000012","1","2023-11-01 13:47:36","2023-11-01 13:47:36","58-2","0","4"
"2023-11-01 13:51:37","0000000000013","1","2023-11-01 13:51:37","2023-11-01 13:51:37","58-2","18","18"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","9-1","6","6"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","20","8","8"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","33-1","10","10"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","35-1","15","15"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","40-1","10","10"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","49-1","15","15"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","57-1","1","1"
"2023-11-01 14:20:45","0000000000014","1","2023-11-01 14:20:45","2023-11-01 14:20:45","59-1","3","3"
"2023-11-01 14:31:34","0000000000010","1","2023-11-01 14:31:34","2023-11-01 14:31:34","42-4","2","2"
"2023-11-01 14:39:53","0000000000051","1","2023-11-01 14:39:53","2023-11-01 14:39:53","49-1","15","15"
"2023-11-01 14:39:53","0000000000051","1","2023-11-01 14:39:53","2023-11-01 14:39:53","49-2","15","15"
"2023-11-01 15:03:30","0000000000003","1","2023-11-01 15:03:30","2023-11-01 15:03:30","35-1","60","60"
"2023-11-01 15:03:30","0000000000003","1","2023-11-01 15:03:30","2023-11-01 15:03:30","49-1","15","15"
"2023-11-01 15:03:30","0000000000003","1","2023-11-01 15:03:30","2023-11-01 15:03:30","49-2","15","15"
"2023-11-01 15:03:30","0000000000003","1","2023-11-01 15:03:30","2023-11-01 15:03:30","23","20","20"
"2023-11-01 15:06:12","0000000000093","1","2023-11-01 15:06:12","2023-11-01 15:06:12","9-1","8","8"
"2023-11-01 15:06:12","0000000000093","1","2023-11-01 15:06:12","2023-11-01 15:06:12","12","30","15"
"2023-11-01 15:06:12","0000000000093","1","2023-11-01 15:06:12","2023-11-01 15:06:12","16","10","10"
"2023-11-01 15:06:12","0000000000093","1","2023-11-01 15:06:12","2023-11-01 15:06:12","17","30","30"
"2023-11-01 15:06:12","0000000000093","1","2023-11-01 15:06:12","2023-11-01 15:06:12","14-2","8","6"
"2023-11-01 15:32:48","0000000000010","1","2023-11-01 15:32:48","2023-11-01 15:32:48","49-1","15","15"
"2023-11-01 15:37:19","0000000000013","1","2023-11-01 15:37:19","2023-11-01 15:37:19","58-2","26","26"
"2023-11-01 15:39:43","0000000000035","1","2023-11-01 15:39:43","2023-11-01 15:39:43","58-2","8","8"
"2023-11-01 15:40:37","0000000000006","1","2023-11-01 15:40:37","2023-11-01 15:40:37","58-2","3","3"
"2023-11-01 15:40:37","0000000000006","1","2023-11-01 15:40:37","2023-11-01 15:40:37","58-1","31","31"
"2023-11-01 15:46:27","0000000000003","1","2023-11-01 15:46:27","2023-11-01 15:46:27","58-2","11","11"
"2023-11-01 15:48:27","000000000019B","1","2023-11-01 15:48:27","2023-11-01 15:48:27","58-2","7","7"
"2023-11-01 15:59:00","0000000000006","1","2023-11-01 15:59:00","2023-11-01 15:59:00","49-2","30","30"
"2023-11-01 15:59:00","0000000000006","1","2023-11-01 15:59:00","2023-11-01 15:59:00","58-1","0","2"
"2023-11-01 16:01:21","0000000000093","1","2023-11-01 16:01:21","2023-11-01 16:01:21","58-2","9","9"
"2023-11-01 16:01:53","0000000000035","1","2023-11-01 16:01:53","2023-11-01 16:01:53","58-2","4","4"
"2023-11-01 16:01:53","0000000000035","1","2023-11-01 16:01:53","2023-11-01 16:01:53","58-1","2","2"
"2023-11-01 16:08:57","0000000000071","1","2023-11-01 16:08:57","2023-11-01 16:08:57","42-1","30","30"
"2023-11-01 16:08:57","0000000000071","1","2023-11-01 16:08:57","2023-11-01 16:08:57","49-1","30","30"
"2023-11-01 16:08:57","0000000000071","1","2023-11-01 16:08:57","2023-11-01 16:08:57","58-2","0","13"
"2023-11-01 16:13:13","0000000000045","1","2023-11-01 16:13:13","2023-11-01 16:13:13","40-3","5","5"
"2023-11-01 16:13:13","0000000000045","1","2023-11-01 16:13:13","2023-11-01 16:13:13","9-2","10","10"
"2023-11-01 16:13:13","0000000000045","1","2023-11-01 16:13:13","2023-11-01 16:13:13","49-2","15","15"
"2023-11-01 16:30:05","0000000000092","1","2023-11-01 16:30:05","2023-11-01 16:30:05","58-2","7","7"
"2023-11-01 16:39:51","000000000019B","1","2023-11-01 16:39:51","2023-11-01 16:39:51","58-2","13","13"
"2023-11-01 16:52:42","0000000000051","1","2023-11-01 16:52:42","2023-11-01 16:52:42","49-1","15","15"
"2023-11-01 16:53:21","0000000000092","1","2023-11-01 16:53:21","2023-11-01 16:53:21","49-2","30","30"
"2023-11-01 16:59:44","0000000000095","1","2023-11-01 16:59:44","2023-11-01 16:59:44","49-1","30","30"
"2023-11-01 17:00:51","0000000000093","1","2023-11-01 17:00:51","2023-11-01 17:00:51","9-1","5","5"
"2023-11-01 17:00:51","0000000000093","1","2023-11-01 17:00:51","2023-11-01 17:00:51","12","30","30"
"2023-11-01 17:00:51","0000000000093","1","2023-11-01 17:00:51","2023-11-01 17:00:51","17","10","10"
"2023-11-01 17:00:51","0000000000093","1","2023-11-01 17:00:51","2023-11-01 17:00:51","49-2","15","15"
"2023-11-01 17:03:57","0000000000006","1","2023-11-01 17:03:57","2023-11-01 17:03:57","58-1","28","28"
"2023-11-01 17:09:18","0000000000092","1","2023-11-01 17:09:18","2023-11-01 17:09:18","4","25","25"
"2023-11-01 17:09:18","0000000000092","1","2023-11-01 17:09:18","2023-11-01 17:09:18","45","6","6"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","12","30","30"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","17","30","30"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","18","30","30"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","19","25","25"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","51","16","16"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","49-2","45","45"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","41","5","5"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","59-1","20","20"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","48-2","8","8"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","4","30","30"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","5","6","6"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","2","35","35"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","42-1","50","50"
"2023-11-01 17:09:38","0000000000006","1","2023-11-01 17:09:38","2023-11-01 17:09:38","38","3","3"
"2023-11-01 17:11:46","0000000000055","1","2023-11-01 17:11:46","2023-11-01 17:11:46","49-1","30","30"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","49-1","30","30"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","12","5","5"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","18","10","10"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","33-1","10","10"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","51","15","15"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","27-1","5","5"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","42-1","10","10"
"2023-11-01 17:12:41","0000000000035","1","2023-11-01 17:12:41","2023-11-01 17:12:41","14-1","15","10"
"2023-11-01 17:24:49","0000000000095","1","2023-11-01 17:24:49","2023-11-01 17:24:49","58-2","1192","1192"
"2023-11-01 17:26:31","0000000000010","1","2023-11-01 17:26:31","2023-11-01 17:26:31","58-2","5","5"
"2023-11-01 17:38:11","0000000000035","1","2023-11-01 17:38:11","2023-11-01 17:38:11","12","10","5"
"2023-11-01 17:38:11","0000000000035","1","2023-11-01 17:38:11","2023-11-01 17:38:11","58-2","0","9"
"2023-11-01 17:39:32","0000000000012","1","2023-11-01 17:39:32","2023-11-01 17:39:32","16","10","10"
"2023-11-01 17:39:32","0000000000012","1","2023-11-01 17:39:32","2023-11-01 17:39:32","35-1","15","15"
"2023-11-01 17:39:32","0000000000012","1","2023-11-01 17:39:32","2023-11-01 17:39:32","51","5","5"
"2023-11-01 17:39:36","0000000000006","1","2023-11-01 17:39:36","2023-11-01 17:39:36","49-2","45","45"
"2023-11-01 17:42:48","0000000000095","1","2023-11-01 17:42:48","2023-11-01 17:42:48","49-1","30","30"
"2023-11-01 17:43:58","0000000000010","1","2023-11-01 17:43:58","2023-11-01 17:43:58","49-2","15","15"
"2023-11-01 17:53:24","0000000000095","1","2023-11-01 17:53:24","2023-11-01 17:53:24","49-1","30","30"
"2023-11-01 17:53:32","0000000000023","1","2023-11-01 17:53:32","2023-11-01 17:53:32","49-1","30","30"
"2023-11-01 17:56:18","000000000019B","1","2023-11-01 17:56:18","2023-11-01 17:56:18","58-2","10","10"
"2023-11-01 17:56:18","000000000019B","1","2023-11-01 17:56:18","2023-11-01 17:56:18","40-1","10","10"
"2023-11-01 17:56:18","000000000019B","1","2023-11-01 17:56:18","2023-11-01 17:56:18","40-2","10","10"
"2023-11-01 17:56:18","000000000019B","1","2023-11-01 17:56:18","2023-11-01 17:56:18","49-1","30","30"
"2023-11-01 17:57:55","0000000000013","1","2023-11-01 17:57:55","2023-11-01 17:57:55","49-1","15","15"
"2023-11-01 17:57:55","0000000000013","1","2023-11-01 17:57:55","2023-11-01 17:57:55","51","5","5"
"2023-11-01 17:57:55","0000000000013","1","2023-11-01 17:57:55","2023-11-01 17:57:55","16","10","10"
"2023-11-01 17:57:55","0000000000013","1","2023-11-01 17:57:55","2023-11-01 17:57:55","18","10","10"
"2023-11-01 17:57:55","0000000000013","1","2023-11-01 17:57:55","2023-11-01 17:57:55","58-2","0","23"
"2023-11-01 18:00:40","0000000000093","1","2023-11-01 18:00:40","2023-11-01 18:00:40","58-2","11","11"
"2023-11-01 18:01:00","0000000000006","1","2023-11-01 18:01:00","2023-11-01 18:01:00","58-1","26","26"
"2023-11-01 18:09:56","0000000000003","1","2023-11-01 18:09:56","2023-11-01 18:09:56","35-1","60","40"
"2023-11-01 18:09:56","0000000000003","1","2023-11-01 18:09:56","2023-11-01 18:09:56","49-2","15","15"
"2023-11-01 18:15:05","0000000000085","1","2023-11-01 18:15:05","2023-11-01 18:15:05","9-1","10","10"
"2023-11-01 18:15:05","0000000000085","1","2023-11-01 18:15:05","2023-11-01 18:15:05","45","3","3"
"2023-11-01 18:27:27","0000000000063","1","2023-11-01 18:27:27","2023-11-01 18:27:27","3","20","20"
"2023-11-01 18:27:27","0000000000063","1","2023-11-01 18:27:27","2023-11-01 18:27:27","5","20","20"
"2023-11-01 18:27:27","0000000000063","1","2023-11-01 18:27:27","2023-11-01 18:27:27","12","20","20"
"2023-11-01 18:27:27","0000000000063","1","2023-11-01 18:27:27","2023-11-01 18:27:27","49-1","30","30"
"2023-11-01 18:27:27","0000000000063","1","2023-11-01 18:27:27","2023-11-01 18:27:27","49-2","30","30"
"2023-11-01 18:28:54","0000000000010","1","2023-11-01 18:28:54","2023-11-01 18:28:54","49-1","15","15"
"2023-11-01 18:30:37","0000000000036","1","2023-11-01 18:30:37","2023-11-01 18:30:37","58-2","34","34"
"2023-11-01 18:40:53","0000000000085","1","2023-11-01 18:40:53","2023-11-01 18:40:53","16","20","20"
"2023-11-01 18:40:53","0000000000085","1","2023-11-01 18:40:53","2023-11-01 18:40:53","18","20","20"
"2023-11-01 18:40:53","0000000000085","1","2023-11-01 18:40:53","2023-11-01 18:40:53","49-2","30","30"
"2023-11-01 18:40:58","0000000000063","1","2023-11-01 18:40:58","2023-11-01 18:40:58","3","20","20"
"2023-11-01 18:40:58","0000000000063","1","2023-11-01 18:40:58","2023-11-01 18:40:58","5","20","20"
"2023-11-01 18:40:58","0000000000063","1","2023-11-01 18:40:58","2023-11-01 18:40:58","12","20","20"
"2023-11-01 18:40:58","0000000000063","1","2023-11-01 18:40:58","2023-11-01 18:40:58","49-1","30","30"
"2023-11-01 18:40:58","0000000000063","1","2023-11-01 18:40:58","2023-11-01 18:40:58","49-2","30","30"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","17","25","25"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","18","10","10"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","19","25","25"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","49-2","45","45"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","35-2","15","15"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","4","20","20"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","2","30","30"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","42-1","50","50"
"2023-11-01 18:43:06","0000000000006","1","2023-11-01 18:43:06","2023-11-01 18:43:06","58-2","0","8"
"2023-11-01 18:44:56","0000000000031","1","2023-11-01 18:44:56","2023-11-01 18:44:56","12","20","20"
"2023-11-01 18:44:56","0000000000031","1","2023-11-01 18:44:56","2023-11-01 18:44:56","16","10","10"
"2023-11-01 18:44:56","0000000000031","1","2023-11-01 18:44:56","2023-11-01 18:44:56","18","10","10"
"2023-11-01 18:44:56","0000000000031","1","2023-11-01 18:44:56","2023-11-01 18:44:56","59-2","10","10"
"2023-11-01 18:44:56","0000000000031","1","2023-11-01 18:44:56","2023-11-01 18:44:56","58-2","0","8"
"2023-11-01 18:51:54","0000000000012","1","2023-11-01 18:51:54","2023-11-01 18:51:54","9-1","15","15"
"2023-11-01 18:51:54","0000000000012","1","2023-11-01 18:51:54","2023-11-01 18:51:54","20","10","10"
"2023-11-01 18:51:54","0000000000012","1","2023-11-01 18:51:54","2023-11-01 18:51:54","49-1","15","15"
"2023-11-01 18:51:54","0000000000012","1","2023-11-01 18:51:54","2023-11-01 18:51:54","49-2","15","15"
"2023-11-01 18:51:53","0000000000092","1","2023-11-01 18:51:53","2023-11-01 18:51:53","58-2","11","11"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","2","20","20"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","16","30","30"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","18","30","30"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","40-1","10","6"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","49-1","15","15"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","14-2","5","5"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","12","10","10"
"2023-11-01 18:53:34","0000000000002","1","2023-11-01 18:53:34","2023-11-01 18:53:34","58-2","0","10"
"2023-11-01 19:04:39","0000000000092","1","2023-11-01 19:04:39","2023-11-01 19:04:39","58-2","10","10"
"2023-11-01 19:05:49","0000000000007","1","2023-11-01 19:05:49","2023-11-01 19:05:49","51","8","8"
"2023-11-01 19:05:49","0000000000007","1","2023-11-01 19:05:49","2023-11-01 19:05:49","49-2","15","15"
"2023-11-01 19:05:49","0000000000007","1","2023-11-01 19:05:49","2023-11-01 19:05:49","40-3","4","4"
"2023-11-01 19:05:49","0000000000007","1","2023-11-01 19:05:49","2023-11-01 19:05:49","58-2","0","2"
"2023-11-01 19:06:18","0000000000095","1","2023-11-01 19:06:18","2023-11-01 19:06:18","49-1","30","30"
"2023-11-01 19:09:16","0000000000006","1","2023-11-01 19:09:16","2023-11-01 19:09:16","58-1","42","58"
"2023-11-01 19:33:39","0000000000035","1","2023-11-01 19:33:39","2023-11-01 19:33:39","58-2","28","28"
"2023-11-01 19:34:12","0000000000093","1","2023-11-01 19:34:12","2023-11-01 19:34:12","58-2","22","22"
"2023-11-01 19:36:57","0000000000013","1","2023-11-01 19:36:57","2023-11-01 19:36:57","58-2","31","31"
"2023-11-01 19:38:38","0000000000031","1","2023-11-01 19:38:38","2023-11-01 19:38:38","58-2","5","5"
"2023-11-01 19:39:21","0000000000032","1","2023-11-01 19:39:21","2023-11-01 19:39:21","58-2","29","29"
"2023-11-01 19:45:14","0000000000093","1","2023-11-01 19:45:14","2023-11-01 19:45:14","12","30","30"
"2023-11-01 19:45:14","0000000000093","1","2023-11-01 19:45:14","2023-11-01 19:45:14","17","20","20"
"2023-11-01 19:45:14","0000000000093","1","2023-11-01 19:45:14","2023-11-01 19:45:14","58-2","0","3"
"2023-11-01 19:58:54","0000000000010","1","2023-11-01 19:58:54","2023-11-01 19:58:54","58-2","9","9"
"2023-11-01 20:08:31","0000000000013","1","2023-11-01 20:08:31","2023-11-01 20:08:31","40-1","5","5"
"2023-11-01 20:08:31","0000000000013","1","2023-11-01 20:08:31","2023-11-01 20:08:31","51","10","10"
"2023-11-01 20:08:31","0000000000013","1","2023-11-01 20:08:31","2023-11-01 20:08:31","16","10","10"
"2023-11-01 20:08:31","0000000000013","1","2023-11-01 20:08:31","2023-11-01 20:08:31","18","10","10"
"2023-11-01 20:08:31","0000000000013","1","2023-11-01 20:08:31","2023-11-01 20:08:31","58-2","0","13"
"2023-11-01 20:11:47","0000000000006","1","2023-11-01 20:11:47","2023-11-01 20:11:47","58-1","42","42"
"2023-11-01 20:12:43","0000000000032","1","2023-11-01 20:12:43","2023-11-01 20:12:43","5","10","10"
"2023-11-01 20:14:11","0000000000024","1","2023-11-01 20:14:11","2023-11-01 20:14:11","40-1","10","5"
"2023-11-01 20:14:11","0000000000024","1","2023-11-01 20:14:11","2023-11-01 20:14:11","49-2","30","30"
"2023-11-01 20:14:11","0000000000024","1","2023-11-01 20:14:11","2023-11-01 20:14:11","16","25","25"
"2023-11-01 20:14:11","0000000000024","1","2023-11-01 20:14:11","2023-11-01 20:14:11","12","15","15"
"2023-11-01 20:14:17","0000000000012","1","2023-11-01 20:14:17","2023-11-01 20:14:17","58-2","12","12"
"2023-11-01 20:15:33","0000000000095","1","2023-11-01 20:15:33","2023-11-01 20:15:33","49-1","30","30"
